grayscale_toggle,distance,fee_config,unit_fee,pickdrop_fee,min_fee,hub_config_source,discount_rate,group_member_fee_list,fee_config,surge_rate,is_decoupled,shipping_fee,distance,shipping_fee_no_surge,final_shipping_fee,total_single_shipping_fee,hub_stack_shipping_fee,hub_calculate_details,dropoff_points,lng_lat_compare_precision,package_increase_original_fee_replace,unique_pickup_points_toggle,original_dropoff_points,hub_stack_fee,pickup_points,package_decrease_original_fee_replace,discount_fee,unique_dropoff_points_toggle,original_delivery_info,delivery_order_ids,hub_extra_fee
1,2053.79,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2053.79,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513353554]},2000}
1,3292.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3292.8,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513358557]},2000}
1,1632.69,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1632.69,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513354871 513359962]},2000}
1,1964.3,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1964.3,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513356859]},2000}
1,3910.5,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3910.5,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,14664.375,2,False,18900.0,False,{'shipping_fee': 13500.0,[513356865]},2000}
1,2223.1,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2223.1,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513348751 513353826]},2000}
1,1888.5,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1888.5,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513350611 513352181]},2000}
1,3292.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3292.8,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513358557]},2000}
1,3534.0,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3534.0,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513351872 513354471]},2000}
1,3536.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3536.8,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513344654 513350968]},2000}
