"report_date","logic_segment","shipper_id","city_name","total_order","total_order_spxi","total_assign"
"2024-04-04","new","12173026","HCM City","24","7","45"
"2024-04-04","new","19066776","HCM City","22","15","25"
"2024-04-04","new","40298243","HCM City","27","8","28"
"2024-04-04","new","18273236","HCM City","20","11","23"
"2024-04-04","new","40182314","HCM City","28","9","35"
"2024-04-04","new","20229359","Ha Noi City","26","26","33"
"2024-04-04","new","12099271","HCM City","22","12","32"
"2024-04-04","new","23113921","Ha Noi City","7","1","56"
"2024-04-04","new","18387612","HCM City","20","11","20"
"2024-04-04","new","21146297","Ha Noi City","1","0","77"
"2024-04-04","new","17086828","HCM City","25","13","26"
"2024-04-04","new","12011497","HCM City","21","0","21"
"2024-04-04","new","18323526","HCM City","30","16","35"
"2024-04-04","new","17192424","Ha Noi City","7","0","7"
"2024-04-04","new","21220234","Ha Noi City","23","5","28"
"2024-04-04","new","42213400","HCM City","22","11","23"
"2024-04-04","new","13174544","HCM City","27","23","515"
"2024-04-04","new","16220519","HCM City","22","12","22"
"2024-04-04","new","18515934","HCM City","17","17","20"
"2024-04-04","new","22263292","Ha Noi City","30","18","49"
"2024-04-04","new","3443134","HCM City","33","17","41"
"2024-04-04","new","11994715","HCM City","24","12","27"
"2024-04-04","new","16597409","HCM City","17","7","18"
"2024-04-04","new","16616376","HCM City","23","9","23"
"2024-04-04","new","17469068","HCM City","21","15","23"
"2024-04-04","new","12956021","HCM City","23","7","31"
"2024-04-04","new","18326973","Ha Noi City","25","7","121"
"2024-04-04","new","20425313","HCM City","23","8","23"
"2024-04-04","new","19888468","HCM City","22","15","22"
"2024-04-04","new","15988860","Ha Noi City","14","12","22"
"2024-04-04","new","22939916","Ha Noi City","27","0","33"
"2024-04-04","new","15533232","HCM City","23","16","24"
"2024-04-04","new","23136695","Ha Noi City","29","29","34"
"2024-04-04","new","16169364","HCM City","12","1","19"
"2024-04-04","new","17207451","Ha Noi City","10","7","10"
"2024-04-04","new","2622259","Ha Noi City","8","8","46"
"2024-04-04","new","13217387","HCM City","23","14","24"
"2024-04-04","new","50136135","Ha Noi City","22","12","27"
"2024-04-04","new","41240293","HCM City","27","12","27"
"2024-04-04","new","41976593","Ha Noi City","19","19","22"
"2024-04-04","new","19533113","Ha Noi City","24","0","26"
"2024-04-04","new","20293736","HCM City","31","7","31"
"2024-04-04","new","20287487","HCM City","28","2","46"
"2024-04-04","new","10563603","Ha Noi City","23","18","26"
"2024-04-04","new","41854335","Ha Noi City","26","18","34"
"2024-04-04","new","21946290","Ha Noi City","23","11","30"
"2024-04-04","new","20619267","HCM City","25","20","26"
"2024-04-04","new","9123208","Ha Noi City","6","0","9"
"2024-04-04","new","42177486","HCM City","19","14","19"
"2024-04-04","new","17020949","Ha Noi City","16","13","22"
"2024-04-04","new","12166495","Ha Noi City","25","13","26"
"2024-04-04","new","18607169","HCM City","24","6","25"
"2024-04-04","new","12440321","Ha Noi City","20","1","22"
"2024-04-04","new","15782225","Ha Noi City","29","10","41"
"2024-04-04","new","12817365","HCM City","24","8","28"
"2024-04-04","new","8879511","Ha Noi City","28","15","31"
"2024-04-04","new","22626891","Ha Noi City","23","22","24"
"2024-04-04","new","6755717","HCM City","19","8","22"
"2024-04-04","new","40742619","HCM City","28","12","29"
"2024-04-04","new","42132698","HCM City","19","9","20"
"2024-04-04","new","42297550","HCM City","29","11","31"
"2024-04-04","new","50168084","Ha Noi City","23","23","24"
"2024-04-04","new","16470443","HCM City","31","2","32"
"2024-04-04","new","22216000","HCM City","25","25","26"
"2024-04-04","new","41688748","Ha Noi City","19","14","22"
"2024-04-04","new","12076072","HCM City","31","21","34"
"2024-04-04","new","12471313","Ha Noi City","25","25","29"
"2024-04-04","new","23161461","Ha Noi City","25","15","29"
"2024-04-04","new","23013947","HCM City","19","7","22"
"2024-04-04","new","22207766","Ha Noi City","10","0","15"
"2024-04-04","new","14529590","Ha Noi City","30","30","36"
"2024-04-04","new","17151077","Ha Noi City","19","2","20"
"2024-04-04","new","17823537","Ha Noi City","22","0","23"
"2024-04-04","new","16398550","HCM City","20","6","25"
"2024-04-04","new","42080717","Ha Noi City","16","4","347"
"2024-04-04","new","16666673","HCM City","23","7","39"
"2024-04-04","new","42257451","HCM City","21","0","22"
"2024-04-04","new","17201872","Ha Noi City","5","3","8"
"2024-04-04","new","10404096","HCM City","18","11","23"
"2024-04-04","new","41243491","Ha Noi City","17","17","25"
"2024-04-04","new","21142644","HCM City","25","7","26"
"2024-04-04","new","40861309","Ha Noi City","15","10","17"
"2024-04-04","new","15550222","Ha Noi City","23","15","31"
"2024-04-04","new","8997994","HCM City","25","10","25"
"2024-04-04","new","18343355","HCM City","23","9","24"
"2024-04-04","new","19087869","HCM City","22","3","23"
"2024-04-04","new","14606939","HCM City","18","18","20"
"2024-04-04","new","11851949","Ha Noi City","10","1","11"
"2024-04-04","new","41281772","Ha Noi City","7","0","7"
"2024-04-04","new","40681902","HCM City","19","19","22"
"2024-04-04","new","20394236","HCM City","29","3","29"
"2024-04-04","new","9965086","Ha Noi City","36","2","50"
"2024-04-04","new","11862941","Ha Noi City","25","15","32"
"2024-04-04","new","41302694","Ha Noi City","20","1","22"
"2024-04-04","new","14073425","HCM City","25","15","30"
"2024-04-04","new","41277528","HCM City","22","22","23"
"2024-04-04","new","41422417","Ha Noi City","30","30","44"
"2024-04-04","new","40016852","Ha Noi City","10","0","13"
"2024-04-04","new","21959972","HCM City","17","17","17"
"2024-04-04","new","41027445","Ha Noi City","24","0","25"
"2024-04-04","new","20329666","HCM City","23","11","24"
"2024-04-04","new","6600346","HCM City","26","10","30"
"2024-04-04","new","12014824","HCM City","23","10","30"
"2024-04-04","new","11686873","HCM City","24","7","30"
"2024-04-04","new","40430345","HCM City","21","21","21"
"2024-04-04","new","3673760","HCM City","26","20","28"
"2024-04-04","new","42286802","Ha Noi City","6","6","6"
"2024-04-04","new","10403335","HCM City","19","19","19"
"2024-04-04","new","13030666","HCM City","19","12","20"
"2024-04-04","new","50077832","HCM City","21","6","21"
"2024-04-04","new","12192190","Ha Noi City","22","2","26"
"2024-04-04","new","41170485","HCM City","23","4","23"
"2024-04-04","new","15908133","Ha Noi City","26","16","34"
"2024-04-04","new","41244868","HCM City","23","16","24"
"2024-04-04","new","18057360","HCM City","20","12","27"
"2024-04-04","new","18481270","HCM City","31","20","39"
"2024-04-04","new","16758743","HCM City","25","7","26"
"2024-04-04","new","40646619","Ha Noi City","20","17","30"
"2024-04-04","new","15914278","Ha Noi City","17","0","34"
"2024-04-04","new","14297840","HCM City","25","12","25"
"2024-04-04","new","20416074","Ha Noi City","12","0","20"
"2024-04-04","new","15848564","HCM City","20","9","20"
"2024-04-04","new","41958239","HCM City","29","0","29"
"2024-04-04","new","15620049","Ha Noi City","18","0","57"
"2024-04-04","new","17068965","Ha Noi City","19","0","19"
"2024-04-04","new","10471838","HCM City","23","11","23"
"2024-04-04","new","23170297","HCM City","23","10","26"
"2024-04-04","new","8351461","HCM City","20","14","29"
"2024-04-04","new","41385031","Ha Noi City","16","0","17"
"2024-04-04","new","40270836","HCM City","26","2","33"
"2024-04-04","new","15672060","Ha Noi City","28","17","34"
"2024-04-04","new","40045725","HCM City","13","7","14"
"2024-04-04","new","23012997","HCM City","25","10","26"
"2024-04-04","new","12438471","HCM City","22","9","23"
"2024-04-04","new","15526509","HCM City","19","14","19"
"2024-04-04","new","41057284","Ha Noi City","24","0","28"
"2024-04-04","new","40086125","HCM City","29","29","31"
"2024-04-04","new","22806148","HCM City","21","10","23"
"2024-04-04","new","15381217","HCM City","20","20","23"
"2024-04-04","new","17441038","HCM City","25","9","27"
"2024-04-04","new","22026408","Ha Noi City","23","2","27"
"2024-04-04","new","20619115","Ha Noi City","23","5","24"
"2024-04-04","new","6872364","HCM City","17","17","22"
"2024-04-04","new","12565436","HCM City","16","2","16"
"2024-04-04","new","10521284","HCM City","26","26","29"
"2024-04-04","new","50308771","Ha Noi City","24","0","27"
"2024-04-04","new","23018707","Ha Noi City","28","25","36"
"2024-04-04","new","40074110","Ha Noi City","26","6","42"
"2024-04-04","new","21621986","HCM City","23","7","25"
"2024-04-04","new","5138323","Ha Noi City","20","14","21"
"2024-04-04","new","16179838","HCM City","30","6","38"
"2024-04-04","new","15199612","Ha Noi City","19","9","31"
"2024-04-04","new","40270586","Ha Noi City","22","9","35"
"2024-04-04","new","41347402","Ha Noi City","15","12","90"
"2024-04-04","new","12714283","HCM City","25","25","31"
"2024-04-04","new","40356433","HCM City","19","8","19"
"2024-04-04","new","19238469","Ha Noi City","22","15","22"
"2024-04-04","new","10705188","HCM City","21","14","21"
"2024-04-04","new","15829078","HCM City","24","8","33"
"2024-04-04","new","16845497","HCM City","20","13","20"
"2024-04-04","new","23078965","Ha Noi City","25","21","28"
"2024-04-04","new","42246724","HCM City","21","12","23"
"2024-04-04","new","41243442","HCM City","25","15","33"
"2024-04-04","new","12620027","Ha Noi City","21","10","27"
"2024-04-04","new","50305573","Ha Noi City","23","13","29"
"2024-04-04","new","14123231","HCM City","26","13","27"
"2024-04-04","new","2576025","HCM City","24","16","37"
"2024-04-04","new","8026920","HCM City","25","25","31"
"2024-04-04","new","22001248","Ha Noi City","14","9","18"
"2024-04-04","new","23044934","Ha Noi City","25","19","28"
"2024-04-04","new","41071147","Ha Noi City","25","10","25"
"2024-04-04","new","17452915","Ha Noi City","2","2","3"
"2024-04-04","new","20721631","HCM City","24","13","31"
"2024-04-04","new","20400543","Ha Noi City","31","7","33"
"2024-04-04","new","14760829","HCM City","10","0","10"
"2024-04-04","new","40304561","Ha Noi City","24","12","25"
"2024-04-04","new","10265055","HCM City","26","26","31"
"2024-04-04","new","40922170","HCM City","26","12","26"
"2024-04-04","new","20292635","HCM City","25","23","43"
"2024-04-04","new","16530903","HCM City","23","12","25"
"2024-04-04","new","23149794","Ha Noi City","20","10","24"
"2024-04-04","new","11722108","HCM City","27","6","28"
"2024-04-04","new","15557134","Ha Noi City","24","0","30"
"2024-04-04","new","40285840","HCM City","20","4","21"
"2024-04-04","new","40036104","Ha Noi City","22","16","23"
"2024-04-04","new","40302663","Ha Noi City","11","1","19"
"2024-04-04","new","23050432","Ha Noi City","25","4","30"
"2024-04-04","new","41622138","Ha Noi City","24","2","35"
"2024-04-04","new","8235908","HCM City","23","9","23"
"2024-04-04","new","42119808","Ha Noi City","23","3","50"
"2024-04-04","new","6648475","HCM City","17","9","21"
"2024-04-04","new","22347788","HCM City","20","11","21"
"2024-04-04","new","20412468","HCM City","21","21","22"
"2024-04-04","new","16613941","HCM City","23","9","24"
"2024-04-04","new","17191022","HCM City","27","27","27"
"2024-04-04","new","8014554","HCM City","25","25","27"
"2024-04-04","new","40711159","HCM City","22","13","24"
"2024-04-04","new","12470359","HCM City","23","1","26"
"2024-04-04","new","41699595","HCM City","26","16","44"
"2024-04-04","new","17987734","Ha Noi City","15","9","25"
"2024-04-04","new","11800518","HCM City","23","12","25"
"2024-04-04","new","10471972","Ha Noi City","25","25","29"
"2024-04-04","new","41039765","HCM City","6","6","8"
"2024-04-04","new","18389549","Ha Noi City","19","0","24"
"2024-04-04","new","10355803","HCM City","21","14","22"
"2024-04-04","new","12071967","HCM City","21","21","28"
"2024-04-04","new","14330343","Ha Noi City","25","25","34"
"2024-04-04","new","5208831","Ha Noi City","22","14","31"
"2024-04-04","new","41690564","HCM City","26","8","29"
"2024-04-04","new","12733730","HCM City","26","26","27"
"2024-04-04","new","18615212","HCM City","25","11","25"
"2024-04-04","new","16513083","HCM City","18","7","20"
"2024-04-04","new","20821838","Ha Noi City","24","10","30"
"2024-04-04","new","4456686","HCM City","31","15","31"
"2024-04-04","new","3674045","HCM City","33","14","34"
"2024-04-04","new","40113440","HCM City","27","20","27"
"2024-04-04","new","5887641","HCM City","28","14","28"
"2024-04-04","new","14544526","Ha Noi City","21","1","23"
"2024-04-04","new","12214834","HCM City","27","16","31"
"2024-04-04","new","14625791","HCM City","25","15","25"
"2024-04-04","new","17201622","HCM City","23","15","23"
"2024-04-04","new","41330612","Ha Noi City","18","12","20"
"2024-04-04","new","22125295","HCM City","28","16","29"
"2024-04-04","new","15522209","Ha Noi City","37","15","48"
"2024-04-04","new","16586900","HCM City","19","12","22"
"2024-04-04","new","40379821","Ha Noi City","23","2","27"
"2024-04-04","new","40039921","Ha Noi City","21","11","28"
"2024-04-04","new","41112689","HCM City","23","8","25"
"2024-04-04","new","40360892","HCM City","18","2","18"
"2024-04-04","new","19521339","Ha Noi City","23","14","25"
"2024-04-04","new","20200678","HCM City","24","8","24"
"2024-04-04","new","10388047","HCM City","25","13","33"
"2024-04-04","new","15120055","HCM City","24","7","27"
"2024-04-04","new","15429841","HCM City","19","13","19"
"2024-04-04","new","10190325","Ha Noi City","18","0","20"
"2024-04-04","new","40003891","HCM City","23","16","27"
"2024-04-04","new","19379856","HCM City","24","15","24"
"2024-04-04","new","15430286","Ha Noi City","30","14","44"
"2024-04-04","new","2964083","HCM City","23","6","27"
"2024-04-04","new","21201157","Ha Noi City","9","0","14"
"2024-04-04","new","19067323","Ha Noi City","24","10","29"
"2024-04-04","new","15829099","HCM City","27","18","28"
"2024-04-04","new","40710176","Ha Noi City","28","7","29"
"2024-04-04","new","16266172","HCM City","24","12","26"
"2024-04-04","new","41277725","HCM City","18","0","19"
"2024-04-04","new","15433812","HCM City","17","7","18"
"2024-04-04","new","41591197","HCM City","25","9","25"
"2024-04-04","new","8024709","Ha Noi City","28","17","40"
"2024-04-04","new","19150202","Ha Noi City","22","7","25"
"2024-04-04","new","8159441","Ha Noi City","24","0","27"
"2024-04-04","new","40031181","Ha Noi City","11","3","15"
"2024-04-04","new","13136115","Ha Noi City","26","0","27"
"2024-04-04","new","22138174","HCM City","24","11","25"
"2024-04-04","new","40711040","HCM City","28","17","29"
"2024-04-04","new","17867300","Ha Noi City","28","13","83"
"2024-04-04","new","40693208","HCM City","21","11","28"
"2024-04-04","new","40711436","HCM City","19","14","21"
"2024-04-04","new","8695777","HCM City","20","6","23"
"2024-04-04","new","4758115","HCM City","21","21","24"
"2024-04-04","new","40644217","HCM City","20","5","21"
"2024-04-04","new","18092235","Ha Noi City","22","14","29"
"2024-04-04","new","14286323","HCM City","16","16","21"
"2024-04-04","new","18223108","HCM City","24","17","26"
"2024-04-04","new","19236356","HCM City","22","11","23"
"2024-04-04","new","41558020","Ha Noi City","22","22","29"
"2024-04-04","new","22939467","HCM City","22","18","45"
"2024-04-04","new","17467988","HCM City","24","10","26"
"2024-04-04","new","23130825","Ha Noi City","25","9","28"
